Comp-FITC_Alexa 488-A :: CD56,Comp-PE-A :: CD11c,Comp-PE-Cy55-A :: CD3,Comp-PE-Cy7-A :: CD45RO,Comp-APC_Ax 647-A :: 2H2,Comp-APC-Ax700-A :: CD4,Comp-APC-H7-A :: CD8,FlowMeans.ClusterID,EventNumberDP
214.11,250.434,8603.73,603.755,271.209,14160.3,64.9441,40000,1
913.767,2205.35,590.113,67.9313,8301.57,5279.96,544.474,50000,5
139.334,86.5063,102.742,-6.26713,203.44,-171.728,221.732,50000,9
144.759,37.1101,6101.39,784.795,118.956,13540.7,544.434,40000,13
393.678,11964.9,293.93,2153.46,303.379,7445.85,8.1051,50000,14
326.656,131.525,17335.3,13958.6,-1224.99,14610.3,-279.092,20000,21
278.802,176.867,19484.9,22662.6,-2636.78,144.657,35747.8,10000,22
335.484,264.412,454.864,-300.496,459.244,36343.9,405.744,40000,25
95.0184,168.051,11541.8,572.383,345.037,13934,-131.985,40000,26
169.574,312.306,8474.62,1116.5,362.504,11137.1,-125.518,40000,29
761.452,129.294,22319.4,6376.48,-1238.99,1232.41,46355.8,10000,30
385.275,90.2261,13080.7,10096.5,-145.353,-204.443,-96.7936,20000,33
278.681,57.6252,5039.27,13398.3,-794.497,14399,880.857,20000,41
253.103,-5.70453,95.532,15.4126,357.099,188.536,252.958,50000,42
319.988,132.286,9393.04,2244.66,524.844,26773.4,-454.15,40000,45
189.65,89.954,114.457,141.823,346.546,458.528,362.663,50000,49
170.48,-64.6775,175.009,-103.996,305.435,602.83,-190.401,50000,50
428.593,421.852,189.899,206.944,563.614,629.984,-234.324,50000,53
247.01,83.2292,13446.7,232.178,145.914,-1800.94,21786.6,10000,54
111.476,37.8249,7627.39,2221.49,55.5665,13264.8,-417.783,40000,57
39.9749,87.8803,8516.41,-129.862,-59.0306,15262,-13.2787,40000,58
129.248,85.7717,111.967,-122.862,53.322,321.974,287.964,50000,61
172.504,101.348,12810.7,898.031,287.069,12209,-260.826,30000,62
69.818,197.081,10068.1,-384.75,334.587,15301.2,485.461,40000,65
247.98,105.413,12172,11526.1,-669.243,15581.9,263.816,20000,66
