"Comp-FITC_Alexa 488-A :: CD56","Comp-PE-A :: CD11c","Comp-PE-Cy55-A :: CD3","Comp-PE-Cy7-A :: CD45RO","Comp-APC_Ax 647-A :: 2H2","Comp-APC-Ax700-A :: CD4","Comp-APC-H7-A :: CD8","EventNumberDP"
843.875,206.943,701.308,134.283,549.639,50849.4,445.212,1
215.632,300.288,14452.9,398.965,122.036,19312.5,138.784,2
301.841,70.7416,10586.2,14272.6,-960.101,25537.4,-632.136,7
297.058,130.933,11787.5,-91.2573,325.868,22221.8,-814.4,8
243.428,154.719,8556.11,5324.85,30.3158,14893.2,-1052.63,13
174.921,199.299,91.3455,221.772,162.562,714.363,514.005,20
164.742,-53.5951,15877.9,899.188,88.6879,16899,-154.249,25
262.297,172.828,18321.1,-468.496,-291.54,13082,390.832,26
138.696,73.958,14622.1,-1273.14,59.121,22779.3,39.4153,32
268.261,1676.53,-16.1959,1311.75,621.536,4230.27,-359.93,37
234.115,187.753,5698.47,8815.74,-133.44,-660.074,21395.2,38
343.266,115.409,3152.38,58.6708,547.053,3585.03,348.755,43
277.253,90.5828,8314.89,797.833,384.95,16730.9,-30.3821,44
129.594,114.32,10034.3,669.222,63.0572,11788.3,360.314,49
290.768,168.511,4994.48,3711.75,142.11,3168.57,14162.1,50
243.891,116.602,10283,315.789,97.7721,14211.8,-1046.42,56
350.728,172.592,188.587,160.985,503.621,1063.98,33.6403,61
240.843,101.812,20271.2,-1114.6,165.833,-2753.33,638.765,62
77.4114,94.7836,16064.5,118.228,289.871,16913.7,326.893,67
133.487,-29.2811,2919.02,270.241,247.286,-48.2519,5966.27,73
84.6961,72.1402,8067.06,-117.807,356.668,5016.28,617.412,74
350.582,223.463,11708.4,10921.3,-387.107,24790.8,311.752,79
391.156,6018.95,205.228,352.314,287.631,3488.51,60.5587,80
375.342,1846.41,374.207,530.778,463.492,130.365,206.625,85
168.805,74.3869,8073.23,318.421,-43.7278,16556.9,-412.374,86
207.327,282.572,11835,21559.8,-1607.45,-138.465,8916.95,92
377.242,53.6797,114.971,78.496,166.07,234.221,129.478,97
603.668,4142.07,276.251,4103.01,3417.79,1712.72,-40.8603,98
1053.07,1189.72,425.78,97.0329,468.874,447.007,2170.76,103
202.561,155.874,8208.22,1119.18,-33.0443,333.576,14272.4,104
155.294,472.543,11200.4,475.771,-84.4282,48.3023,21043,110
311.504,231.135,22355.2,7646.37,-323.072,25198.6,353.854,115
201.141,91.0054,17667.6,-462.675,501.521,21945.1,-611.24,116
131.465,10.8548,13815.7,-503.895,-33.5249,18207.5,71.2404,121
152.775,204.126,11472.5,3503.63,-59.9563,13576,-139.448,122
213.54,32.8963,5163.13,4860.8,179.98,11689,291.723,127
237.394,91.5918,471.157,339.212,682.486,28424,244.284,128
117.403,28.768,11216.8,1549.57,-204.447,12418.2,-37.4065,133
554.506,82.7213,168.095,195.621,350.108,25286.4,-641.484,134
303.799,115.424,15762.7,9895.9,-298.285,26903.4,-1074.82,139
